2023-07-17-13-51-38-378: Chấm bài D:\C++\Ktra\L2\B1.cpp, KQ: 
2023-07-17-13-51-45-338: Chấm bài D:\C++\Ktra\L2\B1.cpp, KQ: 
2023-07-17-13-51-56-265: Chấm bài D:\C++\Ktra\L2\B1.cpp, KQ: 
2023-07-17-13-52-14-628: Chấm bài D:\C++\Ktra\L2\B1.cpp, KQ: 
2023-07-17-13-52-22-217: Chấm bài D:\C++\Ktra\L2\B1.cpp, KQ: 
2023-07-17-13-52-42-900: Chấm bài D:\C++\Ktra\L2\B1.cpp, KQ: 
2023-07-17-13-52-59-919: Chấm bài D:\C++\Ktra\L2\B1.cpp, KQ: 
2023-07-17-13-53-32-112: Chấm bài D:\C++\Ktra\L2\B1.cpp, KQ: 
2023-07-17-13-54-10-875: Chấm bài D:\C++\Ktra\L2\B1.cpp, KQ: 
2023-07-17-13-54-47-964: Chấm bài D:\C++\Ktra\L2\B1.cpp, KQ: Kết quả: 100/100 điểm
2023-07-17-14-02-53-118: Chấm bài D:\C++\Ktra\L2\B2.cpp, KQ: Kết quả: 100/100 điểm
2023-07-17-14-21-46-134: Chấm bài D:\C++\Ktra\L2\B3.cpp, KQ: Kết quả: 100/100 điểm
